,name,steps,cuisine
10,fried ravioli,"in a small bowl, mix the 2 cheeses, lemon peel, coriander and pepper with a fork. lay 12 wonton wrappers on a work surface (cover the remaining wrappers to keep them from drying out).  dollop a rounded tablespoon of the cheese mixture in the center of each wrapper.  working in batches of 4, brush the edges of the wonton wrappers with water.  lay 1 of the remaining wonton wrappers on top of each filled wonton, pressing lightly on the center to flatten the cheese mixture; press the edges together with your fingers to seal.  transfer to a platter.  repeat with the remaining wrappers. in a large, heavy skillet, heat the oil over medium heat until the surface ripples (about 5 minutes).  with a slotted spoon, carefully place 3 wontons in hot oil.  cook until edges begin to brown (about 30 seconds), then turn and cook until golden brown on both sides (about 30 seconds more).  drain on paper towel lined plate.  repeat with the remaining ravioli.  serve 3 ravioli per person.",Italian
11,tiramisu - cook's illustrated,"combine coffee, espresso powder and 5 tbsp rum in a wide bowl. stir until espresso dissolves. set aside. using a whisk, hand mixer, or stand mixer with whisk attachment, beat egg yolks on low just until smooth. add sugar and salt and beat at medium speed until pale yellow and thick, 1 1/2 to 2 minutes. add remaining 4 tbsp rum and beat until combined, 20-30 seconds. add mascarpone and beat on medium speed until no lumps remain, 45-60 seconds. transfer to a large bowl. in same work bowl (no need to clean), whisk cream on medium until frothy, about 1 minutes. turn up to high and whip to stiff peaks, 1-2 minutes more. fold 1/3 of whipped cream into eggs to lighten, then fold in remaining whipped cream gently to preserve the air. drop ladyfingers one at a time into coffee mixture. quickly roll over, then transfer to a 13x9x2 pan. (do not submerge the ladyfingers in the coffee; they should remain in the liquid no more than about 2 seconds total.) continue until the pan is filled with a single layer of dipped cookies, breaking or trimming cookies to make them fit. spread half the cream mixture over the cookies, filling the pan out to the corners. put 2 tbsp cocoa in a fine-mesh sieve and sift over the entire surface. repeat dipping and arranging ladyfingers to create a second full layer. spread remaining cream over the ladyfingers, then sift remaining cocoa over the top. clean edges of dish with dry paper towel, then cover with plastic. refrigerate 6-24 hours before serving. sprinkle with grated chocolate before serving, if using.",Italian
12,coco - banana's mushroom pasta sauce,"fry the onions and garlic in olive oil until fragrant. add the chopped tomatoes, zucchini and eggplant. there is no need to add liquid as the tomatoes form their own. bring to the boil, then cover and simmer for around 40 minutes- until everything is very soft. season to taste. strain the tomato mixture- do not reserve the liquid, and transfer to a blender. add the chopped basil to the blender and blend until the sauce is smooth. return the sauce to the pot, and add the sliced mushrooms. simmer until the mushrooms are cooked.",Italian
13,italian quiche,"pre-heat oven to 350°f. place eggs, cream, salt, cayenne pepper, nutmeg, dried oregano, basil and cheddar cheese in a bowl. beat with an electric mixer for 3 minutes at medium speed. heat olive oil in a frying pan. saute the onions, garlic, zucchini and spinach. arrange the bocconcini cheese slices, tomato slices and sauteed vegetables in the bottom of the pie shell. pour egg mixture over the vegetables. bake for 30 minutes or until set. remove from oven. garnish with snipped basil leaves and toasted pine nuts. serve hot with green salad.",Italian
14,sausage &amp; pepper baked ziti,"heat oven to 400 degrees f; cook pasta in a large pot of lightly salted water as package directs for al dente or firm texture. meanwhile, heat oil in large nonstick skillet over medium heat. add peppers, onion and sausage; cook 6 minutes or until sausage is browned. remove from heat; cut sausage into 1/4-inch slices. mix ricotta, 1 cup mozzarella, 3 t parmesan and the parsley in a large bowl. drain pasta; toss with cheese mixture, sausage mixture and 1 cup marinara. pour pasta mixture into 2 quart shallow baking dish. spoon remaining sauce on top; sprinkle with remaining mozzarella and parmesan. bake, uncovered,20 minutes or until bubbly.",Italian
15,focaccia with mixed herbs,"dissolve yeast and sugar in 1 cup warm water and set aside until bubbly about 10-15 minutes. in a food processor, combine flour, salt, 1 t. olive oil, and yeast mixture, processing until dough pulls away from the sides to form a ball. knead dough on a floured surface until smooth, about 5 minutes. place a little olive oil in a bowl, place dough in the bowl, give it a twist, turn the ball over to coat the other side, cover, and let rise for 1 hour or until doubled. punch dough down. transfer to a floured surface and stretch dough to fit a 15 1/2 x 10 1/2 inch pan. lightly grease the pan, transfer dough to the pan, and stretch as needed to fit. using your fingertips make ""dimples"" across the top of the dough. brush remaining olive oil over the top of the dough, sprinkle with desired amount of each herb, a few crushed red pepper flakes, and season to taste with salt and pepper. allow to rise uncovered for 30 minutes. bake at 400 degrees for 15 minutes or until slightly golden brown. cut as desired.",Italian
16,"scallops, mushroom and spinach  notta pasta","in a large nonstick skillet, melt butter. saute shallots, garlic and mushrooms until almost soft. add scallops. saute until just barely cooked(opaque). scallops should be tender and not rubbery. using a colander, strain the scallop/mushroom mixture, reserving liquid. place scallop/mushroom mixture into a bowl. cover and set aside. return liquid to skillet. in a small bowl, whisk flour and vermouth or white wine together until smooth. add half &amp; half, salt, pepper, nutmeg, flour/wine mixture and dill(if using) to skillet. bring to a boil, stirring constantly. reduce to a simmer. add spinach. turn off heat. prepare notta pasta according to package for pasta being careful not to overcook. drain and toss with parmesan cheese. salt and pepper to taste and add sprinkling of red pepper, if desired. pour into your favorite pasta bowl or serving platter. add the scallop/mushroom mixture back to spinach sauce and bring to a gentle simmer. pour over notta pasta and garnish with nuts. now serve immediately.",Italian
17,grilled chicken broccoli alfredo,"place chicken on cutting board and pound out lightly with a meat mallet. you don't want to flatten the chicken totally. mix together salt, pepper and garlic powder.  sprinkle on chicken. grill chicken 8-10 minutes per side or until center is no longer pink.  set chicken aside. bring one gallon of water to a boil and cook penne 7-8 minutes until al dente.  drain. while the pasta is cooking, saute the minced garlic and diced onion in the olive oil until the onion begins to soften. add broccoli to the onion and stir to coat with oil.  cook broccoli until it is heated through. add the alfredo sauce to the broccoli and stir to combine.  allow to heat thorough and remove from heat. toss alfredo mixture with the cooked and drained pasta. top with sliced chicken breats and parmesan cheese. serve with a crisp green salad and garlic bread. * if alfredo sauce is too thick, add 2-3 tablespoons of milk to thin it out.",Italian
18,italian wine biscuits,preheat oven to 375º. mix wet ingredients into dry. knead until smooth. cut off piece of dough about the size of a pencil and roll between palms. knot the dough like making a pretzel. brush top of biscuits with milk or egg yolk. bake for about 10-12 minutes.,Italian
19,cannoli cake roll,"preheat oven to 375 degrees f (190 degrees c). grease one 15 1/2 x 10 1/2 inch jelly-roll pan and line with parchment paper. separate the eggs. in small bowl, with mixer at high speed, beat egg yolks, vanilla, and 1/4 cup granulated sugar until very thick and lemon colored, about 5 minutes. set beaten yolk mixture aside. in large bowl, with clean beaters and with mixer at high speed, beat egg whites, cream of tartar, and salt until soft peaks for. beating at high speed, gradually sprinkle in 1/4 cup granulated sugar until sugar dissolves and whites stand in stiff peaks. transfer beaten egg yolks to another large bowl. with rubber spatula, gently fold beaten egg whites into beaten egg yolks, one-third at a time. sift and fold flour, one-third at a time, into egg mixture. with metal spatula, spread batter evenly in pan. bake at 375 degrees f (190 degrees c) for 10 minutes or until top of cake springs back when lightly touched with finger. meanwhile, in a cup, mix 2 tablespoons orange liqueur with 1 tablespoon water and 1 tablespoon sugar until sugar dissolves. sprinkle clean cloth towel with confectioners' sugar. when cake is done, immediately invert hot cake onto towel. carefully peel off parchment paper and discard. brush cake with orange-liqueur mixture. starting from a long side, roll cake with towel jelly-roll fashion. cool cake roll, seam side down, on wire rack until completely cool, about 1 hour. to make ricotta filling: in food processor, with knife blade attached, blend the ricotta cheese, cream cheese, 1/2 cup confectioners' sugar, 1/2 teaspoon vanilla and cinnamon. until smooth. transfer filling to bowl and stir in 1/4 cup of the chocolate pieces. cover and refrigerate filling while cake cools. assemble cake: gently unroll cooled cake. with metal spatula, spread filling over cake almost to edges. starting from same long side, roll cake without towel. place rolled cake, seam side down, on platter. to make frosting: in small bowl, with mixer at medium speed, beat whipping cream and 3 tablespoons confectioners' sugar until soft peaks form. with rubber spatula, fold in 2 tablespoons orange liqueur and 1/2 teaspoon vanilla. with metal spatula, spread whipped-cream frosting over cake. refrigerate cake at least 2 hours before serving. sprinkle top of cake with chopped pistachios and chocolate pieces just before serving.",Italian
20,chicken breasts saltimbocca,"pound chicken breast halves until thin between  two sheets of waxed paper or  foil. place a slice of ham and cheese on each chicken piece.  roll up and tuck  ends in; secure with small skewers or  wooden picks. combine flour, parmesan  cheese, salt, sage and pepper in a shallow bowl. coat chicken rolls in flour  mixture.  refrigerate chicken at least 1 hour. in a large skillet, heat oil  over medium heat.  add chicken rolls and cook, turning, until browned on all  sides. place browned chicken in a slow cooker. combine soup and wine and pour  over chicken rolls. cover and cook on low 4 to 5 hours or until chicken is  tender. turn control to high. in a small bowl, dissolve cornstarch in water;  stir into cooking juices in cooker. cover and cook on high 10 minutes. serve  with hot rice.",Italian
21,italian spinach,"place drained spinach in non-stick skillet and heat well. add garlic and egg and stir until egg is set. add parmesan cheese, cover and remove from heat. let sit for a couple of minutes for the cheese to melt. stir and serve.",Italian
22,winter pesto,"mince and mash the garlic to a paste with salt. in a processor or blender, puree spinach with parsley, oil, walnuts, parmesan, fennel and garlic paste. the pesto keeps, covered with a thin film of olive oil and chilled, up to 2 weeks. this makes enough to use with up to 2 ½ lbs of pasta.",Italian
23,ziti with sausage and broccoli,"cook sausage in a large non-stick skillet over med-high heat until browned; remove sausage, and set aside.  wipe drippings from skillet with paper towels. cook garlic and red pepper in oil in skillet, stirring constantly, until lightly browned; add tomatoes, and cook until thoroughly heated. add sausage back to skillet mixture and keep warm. cook pasta according to package directions, adding broccoli during last 5 minutes of cooking time. drain pasta, transfer to large serving bowl. add tomato and sausage mixture to pasta in bowl, toss gently, sprinkle with cheese.",Italian
24,quick and easy pizza crust,"1. preheat oven to 450 degrees f (230 degrees c). in a medium bowl, dissolve yeast and sugar in warm water. let stand until creamy, about 10 minutes. 2. stir in flour, salt and oil. beat until smooth. let rest for 5 minutes. 3. turn dough out onto a lightly floured surface and pat or roll into a round. transfer crust to a lightly greased pizza pan or baker's peel dusted with cornmeal. spread with desired toppings and bake in preheated oven for 15 to 20 minutes, or until golden brown. let baked pizza cool for 5 minutes before serving.",Italian
25,magic bullet presto pesto,place everything in the tall cup and fit the cross blade. process to a grainy paste. fit the steamer lid and microwave for 3 minutes. stir the sauce through cooked pasta.,Italian
26,creamy stove-top alfredo with bacon and peas,"in an extra large skillet, cook the four slices of chopped bacon over medium heat until crisp. add garlic; cook and stir for 30 seconds more. drain off fat. stir in pasta, broth, water, salt, and pepper. bring to boiling; reduce heat. simmer, covered, for 12-15 minutes or until pasta is al dente, stirring once. stir in peas, whipping cream, and parmesan cheese. cook and stir for 2 minutes more or until heated through. serve immediately sprinkled with crumbled bacon.",Italian
27,fresh mozzarella bruschetta,"preheat oven to 425 degreesf. slice french bread or baguette into 1/2-inch slices. brush both sides lightly with 2 t olive oil. place on baking sheet. sprinkle lightly with salt, if desired. combine chopped tomatoes, italian seasoning and crushed garlic. set aside. bake french bread slices in oven for 3 minutes. turn each slice over and bake an additional 2 minutes. remove from oven. spread each slice with a tablespoon of the tomato mixture. sprinkle with mozzarella cheese. return to oven for 3 minutes or until cheese is melted. serve immediately.",Italian
28,montegrappa cream sauce,"in a large sauté pan, add the 3 cups of cream and heat over medium heat. grate the 10 ounces of cheese and slowly stir into the cream. when all the cheese is added, bring the mixture to a simmer for 7-8 minutes  to thicken the sauce.",Italian
29,pizza escarole (escarole pie - italian),"cut bottom off escarole.  then cut in half.  clean escarole in sink of water as many times until water is clean and no dirt.  boil in pot of salted water until tender - approximately 20 minutes.  if bitter add 1-2 teaspoons sugar.  drain very well.  squeeze out all excess water with hands or in paper towel or dish towel. next sauté escarole in frying pan with garlic and olive oil.  cold garlic 1st in cold oil or else escarole becomes crisp.  add red pepper flakes if you like it hot. add drained, sliced olives and salt as desired.  keep in mind anchovies will be salty.  when done, drain excess oil out of escarole via colander. place dough in oiled then buttered pan (i use brush).  make sure dough comes up sides of pan. put escarole mixture inside dough.  add anchovies on top in layered pieces.  stir lightly through.  put on top layer of dough for crust.  pinch seems together tightly of top and bottom dough layers.  brush with oil on top and melted butter.  make fork holes for ventilation. bake 400ºf for 15 minutes.  then reduce to 350ºf for 30 minutes or until golden brown. brush melted butter on top crust when removed from oven.",Italian
30,lighter lemon alfredo sauce,"saute olive oil, butter, garlic and red pepper flakes in small sauce pan over medium heat until garlic is slightly browned. put milk, neufchatel cheese, and half of the parmesan cheese in a food processor. blend until creamy and add to pan, stir well. next, add the chicken broth and lemon juice. season with salt and pepper to taste. just before serving, add the remaining parmesan and the mozzarella, stirring until melted and the sauce is well blended. serve over hot cooked pasta as desired.",Italian
31,"auberge spiced olives with garlic, orange and sun-dried tomatoes","heat up a dry heavy based frying pan over a medium heat and add the coriander seeds. toss them around briefly until they start to release their fragrance. remove them and put to one side. mix all the other ingredients together, and then add the toasted coriander seeds and mix again. store them in a covered jar or container for 24 hours before serving, to allow to flavours to infuse. bring them to room temperature if they have been stored in a very cool or cold area - as the olive oil may have congealed. serve with toasted pitta bread, cocktail bread or mini toasts, bread, cocktails, aperitifs or assorted hors d'oeuvres. these can be made up to 3 days in advance.",Italian
32,fettuccine with salsiccia and peperoni rossi (red peppers),"•	brown the sausage into large bite sized chunks. •	cook fettuccine in boiling water. •	drain sausage and add olive oil to coat bottom of pan, reduce heat to low-medium. •	add garlic, tomatoes, roasted peppers, basil, thyme, and toss it all together for 5 minutes or so. •	drain pasta and add on top of sausage and spice mixture in pan. •	sprinkle salt and pepper over the pasta (let it sit there for a 30 seconds or a minute to let the salt and pepper stick to the pasta). •	toss it all together again, mixing the pasta into the sausage and spice mixture.  reduce heat to low. •	sprinkle some flour into the mixture to slightly thicken the sauce. •	when the sauce is the right texture, add the spinach and toss until it becomes slightly wilted. •	sprinkle parmesan over the whole thing and serve.",Italian
33,the house of peroni and francesco mazzei present stracci al pest,"1)	place the flour on a board or in a bowl. make a well in the centre and crack the eggs into it. beat the eggs with a fork until smooth. 2)	using the tips of your fingers, mix the eggs with the flour, a little at a time, until everything is combined. 3)	knead the pieces of dough until these all bind together to give you a large smooth lump of dough. 4)	dust the work surface with some tipo ‘00’ flour. 5)	take a piece of pasta dough the size of a large orange and press it out flat with your fingertips. 6)	set the pasta machine at its widest setting - and roll the lump of pasta dough through it. 7)	click the machine down a setting and roll the pasta dough through again. 8)	fold the pasta over itself and click the pasta machine back up to the widest setting to roll the dough through again. repeat this process five or six times. 9)	once you've rolled your pasta cut the sheets into roughly 4 by 1 inch pieces with a pastry wheel, then lightly dust with flour. let pasta dry until leathery but still pliable, 5 to 30 minutes. 1)	pound the garlic with a little pinch of salt and the basil leaves in a pestle and mortar, or place the garlic and basil in a food processor and pulse. 2)	add the pine nuts to the mixture and mix again. 3)	gradually pour in the olive oil with the motor running; the mixture will emulsify. 4)	transfer the pesto to a serving bowl and add the grana padano. 1)	blanch the stracci, the purple potatoes and string beans for 2 minutes in boiling salt water. 2)	drain all of the above and mix the pesto into the mixture. top with grana padano.",Italian
34,anise easter bread bread machine loaf,"place in order of your manufacturers instructions for your bread machine (makes 1 1/2 pound loaf). place on sweet bread setting, light crust. checking  as mixing that it forms a smooth slight tacky ball of dough. if dough is sloppy, add a tsp, flour at a time. if dough is too hard like, add a tsp milk, at a time. although at this time i did not have to adjust my dough upon mixing. remove when completed baking, to a wire rack. cool thoroughly before cutting with a serrated bread knife, or before storing.",Italian
35,baked gnocchi bolognese with mozzarella,"preheat oven to 350 degrees. saute' ground beef, onion and garlic in a nonstick pan and fry gently for 5-6 minutes, stirring often. stir in the mushrooms and cook another 5-6 minutes until the meat is browned. pour in marinara sauce &amp; bring to the boil, season with salt &amp; pepper, then cover and simmer for 15 minutes. meanwhile, prepare gnocchi per package directions &amp; drain well. next, spoon half the bolognese mixture into a large baking or casserole dish, then top with the gnocchi. add the remaining bolognese sauce and then spoon the formaggio cheese sauce over the top. sprinkle with the mozzarella to coat top. bake on the top shelf of the oven for 30-35 minutes, until golden and bubbling. serve immediately.",Italian
36,quick slap-dash cioppino,"grate your veggies, and saute over med-high heat until transluscent. add in the rest of the ingredients up to the fish.  bring to a boil, then stir and reduce over medium heat until desired consistency/flavor. add in fish in the order laid out, with the scallops going in the very last- these should cook for only a few minutes (only just cooked through), as any longer will give you rubbery white pellets. season to taste.",Italian
37,chicken cacciatore,"cut up chicken, wash &amp; dry. heat oil &amp; butter until bubbly. add chicken &amp; cook slowly till golden brown. remove &amp; set aside. add all chopped ingredients, let cook slowly, stirring as not to burn. when slightly brown, add tomato paste &amp; two cans water. add parsley. replace chicken in gravy &amp; cook till tender over low heat about an hour. serve with rice.",Italian
38,dairy free meatballs,"preheat oven to 375°f. place all ingredients except olive oil into a large bowl and mix together using your hands.  once it looks like the onions are well distributed throughout, you can probably stop. place a layer of aluminum foil on a rimmed baking sheet. thinly coat with the olive oil. begin to shape the meatballs using a small handful of the mixture, placing each one on the oiled sheet pan. bake in preheated oven for about 20 to 25 minutes, until cooked through. drain on a towel (or not). serve hot or in marinara sauce over noodles.",Italian
39,italian meatball soup,"peel carrots with vegetable peeler. finely chop carrots, celery and onions. lightly spray pot(4qt) with oil and add carrots, celery and onion. cook over medium heat 4-5 minutes or until vegetables begin to brown, stirring occasionally. push vegetables to one side of pot. add tomato paste; cook and stir 1-2 minutes or until paste begins to caramelize. add pressed garlic and seasoning; mix well. stir in tomatoes; broth and water; bring to a simmer. cut meatballs in half; add to soup. simmer an additional 10-12 minutes; season to taste with salt and black pepper. serve hot and garnish with ciabatta croutons. ciabatta croutons: pre heat oven to 425 degrees. slice loaf into 1 inch cubes. toss cubes with olive oil and arrange in an even layer on pan. bake 12-14minutes or until golden brown.",Italian
40,italian sausage minestrone,"in the bottom of your best soup pot, heat up your olive oil and add the sausage, onions and peppers. when the sausage is almost completely cooked, add the garlic and the pesto (or herbs). let it cook another minute, then add the tomatoes and tomato sauce, frozen vegetables and beans. let this cook for about 10 minutes on medium heat. then add your beef stock and bring back to a gentle boil and then add the macaroni. salt and pepper to taste. if you like it spicy, you might also add a pinch of red pepper flakes. cook another 10 minutes.",Italian
41,tortellini salad,"cook tortellini in boiling water with a bit of salt. drain and cool, do not rinse. whisk together herbs and dressing. chop all your vegetables. combine all in a large bowl. can be served room temp or chilled. if chilling, you may have to add more dressing before serving as the tortellini will soak the dressing up.",Italian
42,meatballs,"trim away the bread crust, put the milk and bread in a small saucepan and turn on the heat to low. when the bread has soaked up all the milk, mash it to a pulp with a fork. remove from heat and allow to cool completely. into a bowl put the chopped meat, onion, parsley, the egg, the tablespoon of olive oil, the grated parmesan, a tiny grating of nutmeg (or marjoram) - about 1/8 teaspoon - the bread and milk mush, salt, and several grindings of black pepper. gently knead the mixture with your hands without squeezing it. when all the ingredients are evenly combined, shape it gently and without squeezing into balls about 1 inch in diameter. roll the balls lightly in the bread crumbs. choose a saute pan that can subsequently accommodate all the meatballs in a single layer. (or cook them in two batches) pour in enough vegetable oil to come 1/4 inch up the sides. turn on the heat to medium high and when the oil is hot, slip in the meatballs. sliding them in with a spatula will avoid splashing hot oil out of the pan. brown the meatballs on all sides, turning them carefully so they won't break up. once the meatballs are browned, turn off the heat, tip the pan, and, with a spoon, remove as much of the fat that you can.  turn the heat to medium, add the chopped tomatoes with their juice, 1/4 teaspoon of salt, and carefully roll the meatballs over once or twice so that they are moistened by the sauce but don't break up.  cover the skillet and cook until the sauce has thickened, about 25 minutes.  while they are cooking, turn the meatballs over from time to time and check for salt. note: the meatballs may be prepared ahead of time and refrigerated for several days.",Italian
43,italian chili,"grill italian sausage according to package directions; cut into half moon slices and set aside. in soup kettle, saute onion, celery, sweet peppers and garlic in oil until tender. add sausage and remaining ingredients; bring to a boil. reduce heat; cover and simmer 20 minutes or until flavors are blended. tip: sprinkle chili with grated asiago, romano or parmesan cheese.",Italian
44,ragu napoletano (neapolitan meat sauce),"in a large pasta pot or dutch oven, heat the oil until smoking. season the veal and beef with salt and pepper to taste and sear 5 or 6 pieces at a time over medium heat, until dark golden brown. remove to a plate and repeat with remaining meat chunks (if using ground chuck, be sure to drain any excess grease from pan). add the onion to the pan and sauté, scraping the pan with a wooden spoon to loosen any brown bits. cook until the onions are golden brown and very soft, about 10 minutes. add the wine, browned meat chunks, tomatoes, sausages, and pepper flakes and bring to a boil. reduce the heat to a simmer and cook 2 ½-3 hours, stirring occasionally and skimming off the fat as necessary. remove from the heat and remove meat and sausages from sauce. cover well and save for another meal. adjust seasoning with salt and pepper and allow to cool.",Italian
45,spaghetti bolognese (the easy way),"heat 1 tablesppoon of the oil in a large frying pan. add mince and cook until just lightly browned, drain in colander to remove excess fat. put the remainder (1/2 tablespoon) of the oil in the pan and add onion, bacon and garlic and cook for 3-4 minutes. add the drained mince back inot the pan and cook for a further 3 minutes, or until well browned. add the soup, stock, wine, ketchup or paste, bay leaf and oregano. bring to the boil. add salt and pepper to taste (if desired). reduce heat and simmer for 25-30 minutes, stirring occasionally. serve over cooked spaghetti and top with parmesan cheese and garnish with parsley. serve with crusty fresh bread or garlic bread.",Italian
46,parsley pesto,"cream together butter, parmesan, parsley, garlic (chopped), basil and marjoram. add olive oil in a steady stream to incorporate. mix in walnuts. serve on the side with bread,or stir into simple minestrone soup.",Italian
47,"( not ) sausage, pepper and onion pasta","in a small food processor or blender, puree the tomatoes, garlic, 1/2 tbsp of the oil and parsley. set aside. cook pasta in a large pot of boiling water with the kosher salt until al dente. drain (do not rinse!) and return to pot. keep warm. heat remaining olive oil in a deep skillet over medium and add the bell pepper and onion. cook until soft and golden, 7 to 8 minutes. sprinkle in the spices, stir well and cook 1 minute longer. add the sauteed mixture, tomato-garlic puree and lemon juice to the pasta, stir well and serve immediately.",Italian
