,steps_tokens,steps_tokens_bow,cuisine
8788,"['1.', 'first', 'marinate', 'the', 'paneer-', 'in', 'a', 'mixing', 'bowl', 'add', 'yogurt', 'corn', 'starch', 'salt', 'ginger', 'green', 'chili', 'and', 'cilantro', 'and', 'mix', 'it', 'well', 'this', 'should', 'be', 'consistency', 'of', 'soft', 'paste', 'add', 'paneer', 'pieces', 'and', 'mix', 'gently', 'all', 'the', 'pieces', 'should', 'be', 'coated', 'with', 'yogurt', 'mix', 'set', 'aside', 'for', 'an', 'hour', 'or', 'more', '2.', 'for', 'batter', 'mix', 'besan', 'cumin', 'seeds', 'salt', 'and', 'baking', 'soda', 'add', 'water', 'slowly', 'to', 'make', 'a', 'thick', 'batter', 'consistency', 'of', 'a', 'paste', '3.', 'heat', 'the', 'oil', 'in', 'a', 'frying', 'pan', 'over', 'medium', 'high', 'heat', 'frying', 'pan', 'should', 'have', 'about', '1', 'inch', 'of', 'oil', 'to', 'check', 'if', 'the', 'oil', 'is', 'ready', 'put', 'one', 'drop', 'of', 'batter', 'in', 'the', 'oil', 'the', 'batter', 'should', 'come', 'up', 'but', 'not', 'change', 'color', '4.', 'dip', 'the', 'marinated', 'paneer', 'slices', 'in', 'the', 'batter', 'one', 'at', 'a', 'time', 'and', 'slowly', 'drop', 'into', 'the', 'frying', 'pan', '5.', 'fry', 'the', 'pakoras', 'in', 'small', 'batches', 'the', 'pakoras', 'will', 'take', 'about', '4', 'to', '5', 'minutes', 'to', 'cook', '6.', 'turn', 'them', 'occasionally', 'fry', 'the', 'pakoras', 'until', 'both', 'sides', 'are', 'golden-brown', '7.', 'repeat', 'this', 'process', 'the', 'crispy', 'delicious', 'paneer', 'pakoras', 'are', 'ready', 'to', 'serve', '8.', 'serve', 'with', 'chutney']","['first', 'marinate', 'paneer', 'mixing', 'bowl', 'add', 'yogurt', 'corn', 'starch', 'salt', 'ginger', 'green', 'chili', 'cilantro', 'mix', 'well', 'consistency', 'soft', 'paste', 'add', 'paneer', 'pieces', 'mix', 'gently', 'pieces', 'coated', 'yogurt', 'mix', 'set', 'aside', 'batter', 'mix', 'besan', 'cumin', 'seeds', 'salt', 'baking', 'soda', 'add', 'water', 'slowly', 'make', 'thick', 'batter', 'consistency', 'paste', 'heat', 'oil', 'frying', 'pan', 'medium', 'high', 'heat', 'frying', 'pan', 'oil', 'check', 'oil', 'ready', 'put', 'one', 'drop', 'batter', 'oil', 'batter', 'come', 'change', 'color', 'dip', 'marinated', 'paneer', 'slices', 'batter', 'one', 'time', 'slowly', 'drop', 'frying', 'pan', 'fry', 'pakoras', 'small', 'batches', 'pakoras', 'take', 'cook', 'turn', 'occasionally', 'fry', 'pakoras', 'sides', 'golden', 'brown', 'repeat', 'process', 'crispy', 'delicious', 'paneer', 'pakoras', 'ready', 'serve', 'serve', 'chutney']",Indian
6133,"['cook', 'orzo', 'in', 'a', 'large', 'saucepan', 'of', 'boiling', 'water', 'until', 'just', 'tender', '8', 'to', '10', 'minutes', 'or', 'according', 'to', 'package', 'directions', 'drain', 'and', 'rinse', 'meanwhile', 'place', '1', 'cup', 'water', '1/4', 'cup', 'sun-dried', 'tomatoes', 'plum', 'tomato', 'garlic', '2', 'teaspoons', 'marjoram', 'vinegar', 'and', '2', 'teaspoons', 'oil', 'in', 'a', 'blender', 'blend', 'until', 'just', 'a', 'few', 'chunks', 'remain', 'season', 'chicken', 'with', 'salt', 'and', 'pepper', 'on', 'both', 'sides', 'heat', 'remaining', '1', 'tablespoon', 'oil', 'with', 'crushed', 'red', 'pepper', 'flakes', 'in', 'a', 'large', 'skillet', 'over', 'medium-high', 'heat', 'add', 'the', 'chicken', 'and', 'cook', 'adjusting', 'the', 'heat', 'as', 'necessary', 'to', 'prevent', 'burning', 'until', 'golden', 'outside', 'and', 'no', 'longer', 'pink', 'in', 'the', 'middle', '3', 'to', '5', 'minutes', 'per', 'side', 'transfer', 'to', 'a', 'plate', 'tent', 'with', 'foil', 'to', 'keep', 'warm', 'pour', 'the', 'tomato', 'sauce', 'into', 'the', 'pan', 'and', 'bring', 'to', 'a', 'boil', 'measure', 'out', '1/2', 'cup', 'sauce', 'to', 'a', 'small', 'bowl', 'add', 'the', 'remaining', '1/4', 'cup', 'sun-dried', 'tomatoes', 'to', 'the', 'pan', 'along', 'with', 'the', 'orzo', 'artichoke', 'hearts', 'and', '6', 'tablespoons', 'cheese', 'cook', 'stirring', 'until', 'heated', 'through', '1', 'to', '2', 'minutes', 'divide', 'among', '4', 'plates', 'slice', 'the', 'chicken', 'top', 'each', 'portion', 'of', 'pasta', 'with', 'sliced', 'chicken', '2', 'tablespoons', 'of', 'the', 'reserved', 'tomato', 'sauce', 'and', 'a', 'sprinkling', 'of', 'the', 'remaining', 'cheese', 'and', 'marjoram']","['cook', 'orzo', 'large', 'saucepan', 'boiling', 'water', 'tender', 'according', 'package', 'directions', 'drain', 'rinse', 'meanwhile', 'place', 'water', 'sun', 'dried', 'tomatoes', 'plum', 'tomato', 'garlic', 'marjoram', 'vinegar', 'oil', 'blender', 'blend', 'chunks', 'remain', 'season', 'chicken', 'salt', 'pepper', 'sides', 'heat', 'remaining', 'oil', 'crushed', 'red', 'pepper', 'flakes', 'large', 'skillet', 'medium', 'high', 'heat', 'add', 'chicken', 'cook', 'adjusting', 'heat', 'necessary', 'prevent', 'burning', 'golden', 'outside', 'longer', 'pink', 'middle', 'per', 'side', 'transfer', 'plate', 'tent', 'foil', 'keep', 'warm', 'pour', 'tomato', 'sauce', 'pan', 'bring', 'boil', 'measure', 'sauce', 'small', 'bowl', 'add', 'remaining', 'sun', 'dried', 'tomatoes', 'pan', 'along', 'orzo', 'artichoke', 'hearts', 'cheese', 'cook', 'stirring', 'heated', 'divide', 'among', 'plates', 'slice', 'chicken', 'top', 'portion', 'pasta', 'sliced', 'chicken', 'reserved', 'tomato', 'sauce', 'sprinkling', 'remaining', 'cheese', 'marjoram']",Italian
3041,"['place', 'the', 'shredded', 'zucchini', 'in', 'a', 'colander', 'squeeze', 'out', 'any', 'excess', 'water', 'and', 'set', 'aside', 'beat', 'the', 'cream', 'cheese', 'to', 'a', 'smooth', 'consistency', 'and', 'blend', 'in', 'the', 'milk', 'and', 'eggs', 'blending', 'well', 'mix', 'in', 'all', 'the', 'other', 'ingredients', 'including', 'the', 'zucchini', 'and', 'place', 'in', 'a', 'greased', '1', '1/2-quart', 'casserole', 'bake', 'at', '350', 'degrees', 'f.', 'for', '20', 'minutes', 'or', 'until', 'heated', 'through', 'and', 'bubbly', 'pour', 'into', 'a', 'chafing', 'dish', 'and', 'serve', 'hot', 'suggested', 'dippers', 'italian', 'bread', 'chunks', 'bell', 'peppers', 'hot', 'dogs', 'genoa', 'sausage']","['place', 'shredded', 'zucchini', 'colander', 'squeeze', 'excess', 'water', 'set', 'aside', 'beat', 'cream', 'cheese', 'smooth', 'consistency', 'blend', 'milk', 'eggs', 'blending', 'well', 'mix', 'ingredients', 'including', 'zucchini', 'place', 'greased', '1/2', 'quart', 'casserole', 'bake', 'f.', 'heated', 'bubbly', 'pour', 'chafing', 'dish', 'serve', 'hot', 'suggested', 'dippers', 'italian', 'bread', 'chunks', 'bell', 'peppers', 'hot', 'dogs', 'genoa', 'sausage']",Italian
1751,"['preheat', 'oven', 'to', '175', 'degrees', 'f.', 'in', 'a', 'shallow', 'dish', 'beat', 'eggs', 'and', 'season', 'with', 'salt', 'and', 'pepper', 'pour', 'flour', 'into', 'another', 'shallow', 'dish', 'mix', 'together', 'the', 'bread', 'crumbs', 'basil', 'and', 'thyme', 'in', 'a', 'third', 'shallow', 'dish', 'have', 'ready', 'one', 'large', 'plate', 'season', 'the', 'veal', 'with', 'salt', 'and', 'pepper', 'working', 'with', '1', 'piece', 'of', 'veal', 'at', 'a', 'time', 'dip', 'it', 'first', 'in', 'the', 'flour', 'shaking', 'off', 'excess', 'next', 'place', 'the', 'floured', 'veal', 'into', 'the', 'beaten', 'eggs', 'coating', 'completely', 'place', 'the', 'veal', 'into', 'the', 'bread', 'crumb', 'mixture', 'and', 'gently', 'press', 'crumbs', 'into', 'the', 'veal', 'set', 'aside', 'on', 'large', 'plate', 'and', 'continue', 'with', 'remaining', 'veal', 'slices', 'in', 'a', 'large', 'skillet', 'with', 'high', 'sides', 'heat', 'the', 'oil', 'to', '375', 'degrees', 'f.', 'have', 'ready', 'a', 'baking', 'sheet', 'fitted', 'with', 'a', 'rack', 'carefully', 'place', '2', 'pieces', 'of', 'breaded', 'veal', 'in', 'the', 'hot', 'oil', 'and', 'fry', 'until', 'golden', 'brown', 'on', 'both', 'sides', 'about', '6', 'to', '8', 'minutes', 'total', 'place', 'cooked', 'veal', 'on', 'rack', 'season', 'with', 'salt', 'and', 'place', 'in', 'oven', 'to', 'keep', 'warm', 'continue', 'with', 'remaining', 'veal', 'serve', 'with', 'lemon', 'wedges']","['preheat', 'oven', 'f.', 'shallow', 'dish', 'beat', 'eggs', 'season', 'salt', 'pepper', 'pour', 'flour', 'another', 'shallow', 'dish', 'mix', 'together', 'bread', 'crumbs', 'basil', 'thyme', 'third', 'shallow', 'dish', 'ready', 'one', 'large', 'plate', 'season', 'veal', 'salt', 'pepper', 'working', 'piece', 'veal', 'time', 'dip', 'first', 'flour', 'shaking', 'excess', 'next', 'place', 'floured', 'veal', 'beaten', 'eggs', 'coating', 'completely', 'place', 'veal', 'bread', 'crumb', 'mixture', 'gently', 'press', 'crumbs', 'veal', 'set', 'aside', 'large', 'plate', 'continue', 'remaining', 'veal', 'slices', 'large', 'skillet', 'high', 'sides', 'heat', 'oil', 'f.', 'ready', 'baking', 'sheet', 'fitted', 'rack', 'carefully', 'place', 'pieces', 'breaded', 'veal', 'hot', 'oil', 'fry', 'golden', 'brown', 'sides', 'total', 'place', 'cooked', 'veal', 'rack', 'season', 'salt', 'place', 'oven', 'keep', 'warm', 'continue', 'remaining', 'veal', 'serve', 'lemon', 'wedges']",Italian
1855,"['put', 'the', 'dried', 'mushrooms', 'in', 'a', 'bowl', 'pour', 'over', 'enough', 'hot', 'water', 'to', 'cover', 'and', 'leave', 'to', 'soak', 'for', '20', 'minutes', 'pop', 'the', 'stock', 'in', 'a', 'pan', 'and', 'keep', 'it', 'at', 'simmering', 'point', 'melt', 'the', 'butter', 'in', 'a', 'large', 'pan', 'on', 'a', 'medium', 'heat', 'and', 'add', 'the', 'onion', 'and', 'cook', 'gently', 'for', '3-4', 'minutes', 'until', 'softened', 'add', 'the', 'chicken', 'and', 'cook', 'gently', 'until', 'the', 'pieces', 'are', 'turning', 'lightly', 'golden', 'brown', 'for', '4-5', 'minutes', 'add', 'the', 'rice', 'and', 'stir', 'for', 'a', 'minute', 'or', 'so', 'to', 'coat', 'it', 'in', 'the', 'chicken-flavoured', 'butter', 'pour', 'in', 'half', 'the', 'white', 'wine', 'and', 'let', 'it', 'bubble', 'for', 'a', 'few', 'minutes', 'to', 'allow', 'the', 'alcohol', 'to', 'evaporate', 'meanwhile', 'drain', 'the', 'porcini', 'and', 'squeeze', 'out', 'any', 'excess', 'liquid', 'add', 'the', 'porcini', 'to', 'the', 'rice', 'along', 'with', 'the', 'fresh', 'mushrooms', 'and', 'stir', 'well', 'add', 'the', 'hot', 'stock', 'a', 'ladleful', 'at', 'a', 'time', 'stirring', 'well', 'between', 'each', 'addition', 'ensuring', 'all', 'the', 'liquid', 'has', 'been', 'absorbed', 'add', 'the', 'remaining', 'white', 'wine', 'and', 'let', 'it', 'bubble', 'for', 'a', 'few', 'minutes', 'so', 'the', 'alcohol', 'evaporates', 'season', 'with', 'salt', 'and', 'pepper', 'when', 'the', 'rice', 'is', 'tender', 'and', 'the', 'risotto', 'is', 'thick', 'and', 'creamy', 'remove', 'from', 'the', 'heat', 'and', 'leave', 'to', 'rest', 'for', 'about', '30', 'seconds', 'before', 'garnishing', 'with', 'the', 'parsley', 'and', 'some', 'shavings', 'of', 'parmesan', 'cheese']","['put', 'dried', 'mushrooms', 'bowl', 'pour', 'enough', 'hot', 'water', 'cover', 'leave', 'soak', 'pop', 'stock', 'pan', 'keep', 'simmering', 'point', 'melt', 'butter', 'large', 'pan', 'medium', 'heat', 'add', 'onion', 'cook', 'gently', 'softened', 'add', 'chicken', 'cook', 'gently', 'pieces', 'turning', 'lightly', 'golden', 'brown', 'add', 'rice', 'stir', 'coat', 'chicken', 'flavoured', 'butter', 'pour', 'half', 'white', 'wine', 'let', 'bubble', 'allow', 'alcohol', 'evaporate', 'meanwhile', 'drain', 'porcini', 'squeeze', 'excess', 'liquid', 'add', 'porcini', 'rice', 'along', 'fresh', 'mushrooms', 'stir', 'well', 'add', 'hot', 'stock', 'ladleful', 'time', 'stirring', 'well', 'addition', 'ensuring', 'liquid', 'absorbed', 'add', 'remaining', 'white', 'wine', 'let', 'bubble', 'alcohol', 'evaporates', 'season', 'salt', 'pepper', 'rice', 'tender', 'risotto', 'thick', 'creamy', 'remove', 'heat', 'leave', 'rest', 'seconds', 'garnishing', 'parsley', 'shavings', 'parmesan', 'cheese']",Italian
5132,"['in', 'a', 'medium', 'saucepan', 'sprinkle', 'the', 'contents', 'of', 'the', 'gelatin', 'packet', 'over', 'the', 'half', 'and', 'half', 'and', 'let', 'stand', 'for', '5', 'minutes', 'over', 'low', 'heat', 'stir', 'the', 'gelatin', 'mixture', 'until', 'it', 'totally', 'dissolves', 'add', 'the', 'heavy', 'cream', 'add', 'half', 'of', 'the', 'vanilla', 'and', 'sugar', 'stir', 'again', 'over', 'the', 'low', 'heat', 'until', 'the', 'sugar', 'is', 'dissolved', 'taste', 'and', 'add', 'remaining', 'vanilla', 'if', 'you', 'wish', 'wipe', 'the', 'insides', 'of', '4-1/2', 'cup', 'ramekins', 'with', 'a', 'light', 'coating', 'of', 'canola', 'oil', 'ladle', 'in', 'the', 'cream', 'mixture', 'and', 'let', 'stand', 'until', 'cool', 'place', 'in', 'the', 'fridge', 'for', '4', 'hours', 'you', 'can', 'serve', 'in', 'the', 'dishes', 'or', 'invert', 'serve', 'with', 'fresh', 'fruit']","['medium', 'saucepan', 'sprinkle', 'contents', 'gelatin', 'packet', 'half', 'half', 'let', 'stand', 'low', 'heat', 'stir', 'gelatin', 'mixture', 'totally', 'dissolves', 'add', 'heavy', 'cream', 'add', 'half', 'vanilla', 'sugar', 'stir', 'low', 'heat', 'sugar', 'dissolved', 'taste', 'add', 'remaining', 'vanilla', 'wish', 'wipe', 'insides', 'ramekins', 'light', 'coating', 'canola', 'oil', 'ladle', 'cream', 'mixture', 'let', 'stand', 'cool', 'place', 'fridge', 'serve', 'dishes', 'invert', 'serve', 'fresh', 'fruit']",Italian
639,"['preheat', 'oven', 'to', '350', 'degrees', 'f.', 'in', 'a', 'large', 'bowl', 'combine', 'bread', 'crumbs', 'eggs', 'milk', '1/2', 'cup', 'of', 'the', 'romano', 'and', 'the', 'parsley', 'and', 'mix', 'well', 'season', 'with', 'salt', 'and', 'pepper', 'add', 'beef', 'and', 'gently', 'combine', 'being', 'careful', 'not', 'to', 'overwork', 'the', 'meat', 'shape', 'into', 'bite-size', 'meatballs', 'roll', 'each', 'meatball', 'in', 'flour', 'to', 'coat', 'shaking', 'off', 'excess', 'in', 'a', 'large', 'pot', 'bring', '6', 'quarts', 'of', 'salted', 'water', 'to', 'a', 'boil', 'add', 'pasta', 'and', 'cook', 'until', 'al', 'dente', 'about', '8', 'minutes', 'drain', 'pasta', 'in', 'a', 'colander', 'and', 'set', 'aside', 'if', 'not', 'using', 'immediately', 'cover', 'top', 'with', 'plastic', 'wrap', 'so', 'that', 'pasta', 'does', 'not', 'dry', 'out', 'do', 'not', 'rinse', 'pasta', 'with', 'water', 'since', 'you', 'want', 'to', 'retain', 'the', 'pasta', ""'s"", 'natural', 'starches', 'so', 'that', 'the', 'sauce', 'will', 'cling', 'to', 'the', 'ziti', 'in', 'a', 'large', 'skillet', 'heat', 'the', 'oil', 'over', 'medium-high', 'heat', 'when', 'almost', 'smoking', 'add', 'meatballs', 'in', 'batches', 'and', 'without', 'moving', 'or', 'turning', 'the', 'meat', 'allow', 'it', 'to', 'brown', 'for', 'about', '3', 'minutes', 'turn', 'meatballs', 'and', 'brown', 'other', 'side', 'continue', 'to', 'cook', 'until', 'all', 'sides', 'are', 'golden', 'brown', 'remove', 'meatballs', 'to', 'a', 'plate', 'in', 'a', 'large', 'bowl', 'combine', 'the', 'tomato', 'sauce', 'and', 'ricotta', 'and', 'mix', 'well', 'add', 'the', 'cooked', 'ziti', 'and', 'meatballs', 'and', 'toss', 'gently', 'in', 'a', 'large', 'greased', 'baking', 'dish', 'pour', 'in', 'pasta', 'mixture', 'sprinkle', 'the', 'mozzarella', 'parmesan', 'and', 'remaining', 'romano', 'all', 'over', 'the', 'top', 'dot', 'with', 'the', 'butter', 'place', 'baking', 'dish', 'on', 'top', 'of', 'baking', 'sheet', 'covered', 'with', 'aluminum', 'foil', 'to', 'collect', 'any', 'drippings', 'from', 'the', 'dish', 'bake', 'until', 'top', 'is', 'golden', 'brown', 'and', 'bubbly', 'about', '30', 'to', '40', 'minutes']","['preheat', 'oven', 'f.', 'large', 'bowl', 'combine', 'bread', 'crumbs', 'eggs', 'milk', 'romano', 'parsley', 'mix', 'well', 'season', 'salt', 'pepper', 'add', 'beef', 'gently', 'combine', 'careful', 'overwork', 'meat', 'shape', 'bite', 'size', 'meatballs', 'roll', 'meatball', 'flour', 'coat', 'shaking', 'excess', 'large', 'pot', 'bring', 'salted', 'water', 'boil', 'add', 'pasta', 'cook', 'al', 'dente', 'drain', 'pasta', 'colander', 'set', 'aside', 'using', 'immediately', 'cover', 'top', 'plastic', 'wrap', 'pasta', 'dry', 'rinse', 'pasta', 'water', 'since', 'want', 'retain', 'pasta', 'natural', 'starches', 'sauce', 'cling', 'ziti', 'large', 'skillet', 'heat', 'oil', 'medium', 'high', 'heat', 'almost', 'smoking', 'add', 'meatballs', 'batches', 'without', 'moving', 'turning', 'meat', 'allow', 'brown', 'turn', 'meatballs', 'brown', 'side', 'continue', 'cook', 'sides', 'golden', 'brown', 'remove', 'meatballs', 'plate', 'large', 'bowl', 'combine', 'tomato', 'sauce', 'ricotta', 'mix', 'well', 'add', 'cooked', 'ziti', 'meatballs', 'toss', 'gently', 'large', 'greased', 'baking', 'dish', 'pour', 'pasta', 'mixture', 'sprinkle', 'mozzarella', 'parmesan', 'remaining', 'romano', 'top', 'dot', 'butter', 'place', 'baking', 'dish', 'top', 'baking', 'sheet', 'covered', 'aluminum', 'foil', 'collect', 'drippings', 'dish', 'bake', 'top', 'golden', 'brown', 'bubbly']",Italian
7926,"['put', 'flour', 'into', 'bowl', 'rub', 'butter/margarine', 'into', 'it', 'add', 'half', 'of', 'the', 'water', 'and', 'stir', 'to', 'combine', 'add', 'the', 'remaining', 'water', 'slowly', 'stirring', 'until', 'all', 'of', 'the', 'flour', 'is', 'hydrated', 'knead', 'for', 'approximately', '3', 'minutes', 'be', 'careful', 'the', 'dough', 'may', 'be', 'hot', 'from', 'the', 'water', 'the', 'dough', 'will', 'spring', 'back', 'slightly', 'when', 'pressed', 'may', 'be', 'slightly', 'sticky', 'leave', 'covered', 'for', '30', 'minutes', 'approx', 'divide', 'into', 'small', 'balls', 'about', 'half', 'the', 'size', 'of', 'a', 'tennis', 'ball', 'and', 'dip', 'into', 'extra', 'flour', 'press', 'gently', 'in', 'your', 'hand', 'until', 'slightly', 'flattened', 'into', 'a', 'disc', 'roll', 'with', 'a', 'rolling', 'pin', 'into', 'thin', 'round', 'pancakes', 'heat', 'a', 'heavy', 'based', 'frying', 'pan', 'i', 'used', 'a', 'cast', 'iron', 'one', 'put', 'the', 'chapati', 'onto', 'the', 'pan', 'and', 'cook', 'until', 'small', 'blisters', 'appear', 'turn', 'and', 'cook', 'on', 'the', 'other', 'side', 'they', 'may', 'puff', 'up', 'do', ""n't"", 'worry', 'remove', 'from', 'the', 'heat', 'and', 'wrap', 'in', 'a', 'clean', 'tea', 'towel', 'until', 'ready', 'to', 'serve']","['put', 'flour', 'bowl', 'rub', 'butter/margarine', 'add', 'half', 'water', 'stir', 'combine', 'add', 'remaining', 'water', 'slowly', 'stirring', 'flour', 'hydrated', 'knead', 'approximately', 'careful', 'dough', 'may', 'hot', 'water', 'dough', 'spring', 'back', 'slightly', 'pressed', 'may', 'slightly', 'sticky', 'leave', 'covered', 'approx', 'divide', 'small', 'balls', 'half', 'size', 'tennis', 'ball', 'dip', 'extra', 'flour', 'press', 'gently', 'hand', 'slightly', 'flattened', 'disc', 'roll', 'rolling', 'pin', 'thin', 'round', 'pancakes', 'heat', 'heavy', 'based', 'frying', 'pan', 'used', 'cast', 'iron', 'one', 'put', 'chapati', 'onto', 'pan', 'cook', 'small', 'blisters', 'appear', 'turn', 'cook', 'side', 'may', 'puff', 'worry', 'remove', 'heat', 'wrap', 'clean', 'tea', 'towel', 'ready', 'serve']",Indian
3165,"['sauté', 'garlic', 'in', 'a', 'large', 'frying', 'pan', 'with', 'high', 'sides', 'in', 'the', 'olive', 'oil', 'until', 'tanned', 'discard', 'cook', 'sausages', 'until', 'just', 'cooked', 'through', 'remove', 'sausages', 'to', 'a', 'cutting', 'board', 'when', 'cooled', 'slice', 'each', 'retaining', 'their', 'juice', 'add', 'the', 'pasta', 'and', 'most', 'of', 'the', 'chicken', 'broth', 'to', 'the', 'pan', 'bring', 'it', 'to', 'a', 'boil', 'add', 'additional', 'broth', 'or', 'water', 'until', 'absorbed', 'and', 'pasta', 'is', 'cooked', 'al', 'dente', 'add', 'the', 'sliced', 'sausages', 'and', 'their', 'juices', 'tuscany', 'seasoning', 'and', 'the', 'parmigiana', 'cheese', 'into', 'the', 'hot', 'pan', 'until', 'incorporated', 'optional', 'for', 'a', 'creamy', 'sauce', 'add', 'cream', 'cheese', 'to', 'desired', 'consistency', 'while', 'the', 'pasta', 'and', 'pan', 'are', 'still', 'hot']","['sauté', 'garlic', 'large', 'frying', 'pan', 'high', 'sides', 'olive', 'oil', 'tanned', 'discard', 'cook', 'sausages', 'cooked', 'remove', 'sausages', 'cutting', 'board', 'cooled', 'slice', 'retaining', 'juice', 'add', 'pasta', 'chicken', 'broth', 'pan', 'bring', 'boil', 'add', 'additional', 'broth', 'water', 'absorbed', 'pasta', 'cooked', 'al', 'dente', 'add', 'sliced', 'sausages', 'juices', 'tuscany', 'seasoning', 'parmigiana', 'cheese', 'hot', 'pan', 'incorporated', 'optional', 'creamy', 'sauce', 'add', 'cream', 'cheese', 'desired', 'consistency', 'pasta', 'pan', 'still', 'hot']",Italian
1430,"['combine', 'egg', 'yolks', 'and', 'sugar', 'in', 'the', 'top', 'of', 'a', 'double', 'boiler', 'beat', 'for', 'a', 'few', 'minutes', 'off', 'the', 'stove', 'with', 'an', 'electric', 'beater', 'until', 'really', 'well', 'combined', 'put', 'mixture', 'over', 'simmering', 'water', 'gradually', 'beat', 'in', 'half', 'the', 'marsala', 'and', 'half', 'the', 'white', 'wine', 'gradually', 'beat', 'in', 'the', 'remaining', 'wine', 'beat', 'really', 'well', 'while', 'still', 'on', 'the', 'stove', 'over', 'the', 'simmering', 'water', 'beat', 'constantly', 'for', 'about', '10', 'minutes', 'until', 'thick', 'and', 'creamy', 'if', 'the', 'mixture', 'adheres', 'to', 'the', 'side', 'of', 'the', 'pan', 'quickly', 'remove', 'from', 'heat', 'and', 'beat', 'vigorously', 'with', 'a', 'wooden', 'spoon', 'especially', 'around', 'the', 'base', 'of', 'the', 'pan', 'pour', 'into', 'individual', 'serving', 'dishes']","['combine', 'egg', 'yolks', 'sugar', 'top', 'double', 'boiler', 'beat', 'stove', 'electric', 'beater', 'really', 'well', 'combined', 'put', 'mixture', 'simmering', 'water', 'gradually', 'beat', 'half', 'marsala', 'half', 'white', 'wine', 'gradually', 'beat', 'remaining', 'wine', 'beat', 'really', 'well', 'still', 'stove', 'simmering', 'water', 'beat', 'constantly', 'thick', 'creamy', 'mixture', 'adheres', 'side', 'pan', 'quickly', 'remove', 'heat', 'beat', 'vigorously', 'wooden', 'spoon', 'especially', 'around', 'base', 'pan', 'pour', 'individual', 'serving', 'dishes']",Italian
5781,"['cook', 'penne', 'according', 'to', 'package', 'directions', 'meanwhile', 'pour', 'boiling', 'water', 'over', 'sun', 'dried', 'tomatoes', 'and', 'allow', 'to', 'soak', 'while', 'pasta', 'cooks', 'about', '10', 'minutes', 'microwave', 'peas', 'in', 'a', 'little', 'water', 'for', '2-3', 'minutes', 'until', 'hot', 'drain', 'pasta', 'peas', 'and', 'sun', 'dried', 'tomatoes', 'and', 'toss', 'together', 'add', 'butter', 'or', 'olive', 'oil', 'parmesan', 'basil', 'and', 'salt', 'and', 'pepper', 'to', 'taste', 'toss', 'to', 'combine', 'and', 'serve', 'hot']","['cook', 'penne', 'according', 'package', 'directions', 'meanwhile', 'pour', 'boiling', 'water', 'sun', 'dried', 'tomatoes', 'allow', 'soak', 'pasta', 'cooks', 'microwave', 'peas', 'little', 'water', 'hot', 'drain', 'pasta', 'peas', 'sun', 'dried', 'tomatoes', 'toss', 'together', 'add', 'butter', 'olive', 'oil', 'parmesan', 'basil', 'salt', 'pepper', 'taste', 'toss', 'combine', 'serve', 'hot']",Italian
